Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4199,
Trigger Level,-4.000E-04,
Source,CH2,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,15,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-03,
Vertical Position,4.560E-03,
Horizontal Units,S,
Horizontal Scale,2.000E-07,
Horizontal Position,8.000E-07,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-09,
Horizontal Old Scale,2.000E-07,
Horizontal Old Position,8.000E-07,
Firmware,V1.09,
Mode,Detail,
Waveform Data,
-4.200000e-06,-1.60e-04,
-4.199000e-06,-1.60e-04,
-4.198000e-06,0.00e+00,
-4.197000e-06,0.00e+00,
-4.196000e-06,8.00e-05,
-4.195000e-06,0.00e+00,
-4.194000e-06,8.00e-05,
-4.193000e-06,0.00e+00,
-4.192000e-06,0.00e+00,
-4.191000e-06,2.40e-04,
-4.190000e-06,4.00e-04,
-4.189000e-06,2.40e-04,
-4.188000e-06,0.00e+00,
-4.187000e-06,0.00e+00,
-4.186000e-06,8.00e-05,
-4.185000e-06,0.00e+00,
-4.184000e-06,8.00e-05,
-4.183000e-06,0.00e+00,
-4.182000e-06,2.40e-04,
-4.181000e-06,0.00e+00,
-4.180000e-06,0.00e+00,
-4.179000e-06,8.00e-05,
-4.178000e-06,2.40e-04,
-4.177000e-06,8.00e-05,
-4.176000e-06,0.00e+00,
-4.175000e-06,0.00e+00,
-4.174000e-06,0.00e+00,
-4.173000e-06,8.00e-05,
-4.172000e-06,8.00e-05,
-4.171000e-06,0.00e+00,
-4.170000e-06,0.00e+00,
-4.169000e-06,-1.60e-04,
-4.168000e-06,8.00e-05,
-4.167000e-06,0.00e+00,
-4.166000e-06,8.00e-05,
-4.165000e-06,0.00e+00,
-4.164000e-06,-1.60e-04,
-4.163000e-06,0.00e+00,
-4.162000e-06,8.00e-05,
-4.161000e-06,2.40e-04,
-4.160000e-06,0.00e+00,
-4.159000e-06,0.00e+00,
-4.158000e-06,8.00e-05,
-4.157000e-06,-1.60e-04,
-4.156000e-06,-1.60e-04,
-4.155000e-06,0.00e+00,
-4.154000e-06,8.00e-05,
-4.153000e-06,0.00e+00,
-4.152000e-06,0.00e+00,
-4.151000e-06,0.00e+00,
-4.150000e-06,8.00e-05,
-4.149000e-06,-1.60e-04,
-4.148000e-06,0.00e+00,
-4.147000e-06,-3.20e-04,
-4.146000e-06,-1.60e-04,
-4.145000e-06,-1.60e-04,
-4.144000e-06,0.00e+00,
-4.143000e-06,-1.60e-04,
-4.142000e-06,0.00e+00,
-4.141000e-06,8.00e-05,
-4.140000e-06,0.00e+00,
-4.139000e-06,8.00e-05,
-4.138000e-06,0.00e+00,
-4.137000e-06,0.00e+00,
-4.136000e-06,0.00e+00,
-4.135000e-06,0.00e+00,
-4.134000e-06,8.00e-05,
-4.133000e-06,-1.60e-04,
-4.132000e-06,-1.60e-04,
-4.131000e-06,0.00e+00,
-4.130000e-06,-1.60e-04,
-4.129000e-06,0.00e+00,
-4.128000e-06,-1.60e-04,
-4.127000e-06,0.00e+00,
-4.126000e-06,0.00e+00,
-4.125000e-06,8.00e-05,
-4.124000e-06,8.00e-05,
-4.123000e-06,-1.60e-04,
-4.122000e-06,0.00e+00,
-4.121000e-06,-1.60e-04,
-4.120000e-06,8.00e-05,
-4.119000e-06,8.00e-05,
-4.118000e-06,8.00e-05,
-4.117000e-06,-1.60e-04,
-4.116000e-06,0.00e+00,
-4.115000e-06,-1.60e-04,
-4.114000e-06,8.00e-05,
-4.113000e-06,0.00e+00,
-4.112000e-06,-1.60e-04,
-4.111000e-06,-1.60e-04,
-4.110000e-06,0.00e+00,
-4.109000e-06,-1.60e-04,
-4.108000e-06,-1.60e-04,
-4.107000e-06,-1.60e-04,
-4.106000e-06,0.00e+00,
-4.105000e-06,-1.60e-04,
-4.104000e-06,0.00e+00,
-4.103000e-06,-1.60e-04,
-4.102000e-06,0.00e+00,
-4.101000e-06,-1.60e-04,
-4.100000e-06,-3.20e-04,
-4.099000e-06,0.00e+00,
-4.098000e-06,0.00e+00,
-4.097000e-06,-1.60e-04,
-4.096000e-06,0.00e+00,
-4.095000e-06,0.00e+00,
-4.094000e-06,0.00e+00,
-4.093000e-06,0.00e+00,
-4.092000e-06,0.00e+00,
-4.091000e-06,-1.60e-04,
-4.090000e-06,-1.60e-04,
-4.089000e-06,-1.60e-04,
-4.088000e-06,0.00e+00,
-4.087000e-06,-1.60e-04,
-4.086000e-06,-1.60e-04,
-4.085000e-06,-3.20e-04,
-4.084000e-06,-3.20e-04,
-4.083000e-06,-1.60e-04,
-4.082000e-06,0.00e+00,
-4.081000e-06,8.00e-05,
-4.080000e-06,0.00e+00,
-4.079000e-06,0.00e+00,
-4.078000e-06,0.00e+00,
-4.077000e-06,0.00e+00,
-4.076000e-06,-1.60e-04,
-4.075000e-06,0.00e+00,
-4.074000e-06,0.00e+00,
-4.073000e-06,-3.20e-04,
-4.072000e-06,-1.60e-04,
-4.071000e-06,0.00e+00,
-4.070000e-06,8.00e-05,
-4.069000e-06,-1.60e-04,
-4.068000e-06,-1.60e-04,
-4.067000e-06,-1.60e-04,
-4.066000e-06,0.00e+00,
-4.065000e-06,-1.60e-04,
-4.064000e-06,8.00e-05,
-4.063000e-06,-1.60e-04,
-4.062000e-06,-1.60e-04,
-4.061000e-06,0.00e+00,
-4.060000e-06,-3.20e-04,
-4.059000e-06,-1.60e-04,
-4.058000e-06,0.00e+00,
-4.057000e-06,0.00e+00,
-4.056000e-06,-1.60e-04,
-4.055000e-06,0.00e+00,
-4.054000e-06,8.00e-05,
-4.053000e-06,-1.60e-04,
-4.052000e-06,0.00e+00,
-4.051000e-06,0.00e+00,
-4.050000e-06,0.00e+00,
-4.049000e-06,-1.60e-04,
-4.048000e-06,-1.60e-04,
-4.047000e-06,-1.60e-04,
-4.046000e-06,8.00e-05,
-4.045000e-06,0.00e+00,
-4.044000e-06,0.00e+00,
-4.043000e-06,-1.60e-04,
-4.042000e-06,0.00e+00,
-4.041000e-06,-3.20e-04,
-4.040000e-06,-1.60e-04,
-4.039000e-06,-1.60e-04,
-4.038000e-06,0.00e+00,
-4.037000e-06,-3.20e-04,
-4.036000e-06,-3.20e-04,
-4.035000e-06,-1.60e-04,
-4.034000e-06,8.00e-05,
-4.033000e-06,0.00e+00,
-4.032000e-06,0.00e+00,
-4.031000e-06,0.00e+00,
-4.030000e-06,8.00e-05,
-4.029000e-06,-1.60e-04,
-4.028000e-06,0.00e+00,
-4.027000e-06,0.00e+00,
-4.026000e-06,0.00e+00,
-4.025000e-06,-3.20e-04,
-4.024000e-06,-3.20e-04,
-4.023000e-06,-1.60e-04,
-4.022000e-06,0.00e+00,
-4.021000e-06,-1.60e-04,
-4.020000e-06,-1.60e-04,
-4.019000e-06,-1.60e-04,
-4.018000e-06,0.00e+00,
-4.017000e-06,8.00e-05,
-4.016000e-06,0.00e+00,
-4.015000e-06,8.00e-05,
-4.014000e-06,-1.60e-04,
-4.013000e-06,0.00e+00,
-4.012000e-06,-1.60e-04,
-4.011000e-06,-1.60e-04,
-4.010000e-06,-3.20e-04,
-4.009000e-06,-3.20e-04,
-4.008000e-06,-1.60e-04,
-4.007000e-06,-1.60e-04,
-4.006000e-06,8.00e-05,
-4.005000e-06,8.00e-05,
-4.004000e-06,0.00e+00,
-4.003000e-06,8.00e-05,
-4.002000e-06,8.00e-05,
-4.001000e-06,8.00e-05,
-4.000000e-06,0.00e+00,
-3.999000e-06,8.00e-05,
-3.998000e-06,8.00e-05,
-3.997000e-06,0.00e+00,
-3.996000e-06,-1.60e-04,
-3.995000e-06,0.00e+00,
-3.994000e-06,0.00e+00,
