Format,1.0B,
Memory Length,10000,
IntpDistance,4096,
Trigger Address,4889,
Trigger Level,-9.400E-03,
Source,CH2,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,15,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E-03,
Vertical Position,4.800E-03,
Horizontal Units,S,
Horizontal Scale,5.000E-08,
Horizontal Position,1.105E-07,
Horizontal Mode,Main,
SincET Mode,Sinc2,
Sampling Period,1.000E-09,
Horizontal Old Scale,5.000E-08,
Horizontal Old Position,1.105E-07,
Firmware,V1.09,
Mode,Detail,
Waveform Data,
-4.889500e-06,-4.00e-04,
-4.888500e-06,-4.00e-04,
-4.887500e-06,-4.00e-04,
-4.886500e-06,-8.00e-04,
-4.885500e-06,-4.00e-04,
-4.884500e-06,-4.00e-04,
-4.883500e-06,-4.00e-04,
-4.882500e-06,-4.00e-04,
-4.881500e-06,-4.00e-04,
-4.880500e-06,-2.00e-04,
-4.879500e-06,-4.00e-04,
-4.878500e-06,-8.00e-04,
-4.877500e-06,-8.00e-04,
-4.876500e-06,-4.00e-04,
-4.875500e-06,-8.00e-04,
-4.874500e-06,-8.00e-04,
-4.873500e-06,-4.00e-04,
-4.872500e-06,-2.00e-04,
-4.871500e-06,-4.00e-04,
-4.870500e-06,-8.00e-04,
-4.869500e-06,-4.00e-04,
-4.868500e-06,-4.00e-04,
-4.867500e-06,-4.00e-04,
-4.866500e-06,-4.00e-04,
-4.865500e-06,-4.00e-04,
-4.864500e-06,-8.00e-04,
-4.863500e-06,-4.00e-04,
-4.862500e-06,-4.00e-04,
-4.861500e-06,-8.00e-04,
-4.860500e-06,-4.00e-04,
-4.859500e-06,-8.00e-04,
-4.858500e-06,-4.00e-04,
-4.857500e-06,-4.00e-04,
-4.856500e-06,-4.00e-04,
-4.855500e-06,-4.00e-04,
-4.854500e-06,-2.00e-04,
-4.853500e-06,-4.00e-04,
-4.852500e-06,-4.00e-04,
-4.851500e-06,-4.00e-04,
-4.850500e-06,-4.00e-04,
-4.849500e-06,-4.00e-04,
-4.848500e-06,-2.00e-04,
-4.847500e-06,-4.00e-04,
-4.846500e-06,-8.00e-04,
-4.845500e-06,-8.00e-04,
-4.844500e-06,-4.00e-04,
-4.843500e-06,-4.00e-04,
-4.842500e-06,-4.00e-04,
-4.841500e-06,-8.00e-04,
-4.840500e-06,-4.00e-04,
-4.839500e-06,-4.00e-04,
-4.838500e-06,-4.00e-04,
-4.837500e-06,-2.00e-04,
-4.836500e-06,-2.00e-04,
